Node_ID,X,Y,Z,Head,Velocity_X,Velocity_Y,Darcy_Flux_X,Darcy_Flux_Y,Hydraulic_Gradient
100,80.0,20.0,0.0,6.000000000000007,1.42857142857145e-05,1.1022592841321244e-20,5.000000000000075e-06,3.857907494462435e-21,0.05000000000000076
101,85.0,20.0,0.0,5.750000000000006,1.428571428571441e-05,4.793513363020522e-20,5.000000000000044e-06,1.6777296770571825e-20,0.05000000000000042
102,90.0,20.0,0.0,5.5000000000000036,1.4285714285714397e-05,1.0025896311646217e-19,5.0000000000000385e-06,3.5090637090761756e-20,0.05000000000000037
103,95.0,20.0,0.0,5.250000000000003,1.4285714285714402e-05,3.1202150855897567e-20,5.00000000000004e-06,1.0920752799564147e-20,0.05000000000000039
104,100.0,20.0,0.0,5.0,1.4285714285714455e-05,1.5152035202105224e-20,5.000000000000059e-06,5.3032123207368285e-21,0.05000000000000059
105,0.0,25.0,0.0,10.0,1.4285714285714067e-05,2.0110091249884368e-20,4.999999999999923e-06,7.038531937459529e-21,0.04999999999999922
106,5.0,25.0,0.0,9.750000000000004,1.4285714285714128e-05,9.549069379925885e-20,4.9999999999999445e-06,3.3421742829740597e-20,0.04999999999999945
107,10.0,25.0,0.0,9.500000000000004,1.4285714285714104e-05,3.700743415417187e-20,4.999999999999936e-06,1.2952601953960153e-20,0.04999999999999935
108,15.0,25.0,0.0,9.250000000000009,1.4285714285713992e-05,-7.40148683083438e-20,4.999999999999897e-06,-2.590520390792033e-20,0.04999999999999896
109,20.0,25.0,0.0,9.000000000000014,1.4285714285714033e-05,-1.9728656432382755e-19,4.9999999999999115e-06,-6.905029751333964e-20,0.04999999999999913
110,25.0,25.0,0.0,8.750000000000016,1.4285714285714089e-05,-2.290766889349525e-19,4.999999999999931e-06,-8.017684112723337e-20,0.04999999999999931
111,30.0,25.0,0.0,8.500000000000021,1.4285714285714165e-05,-4.161134334139538e-20,4.999999999999957e-06,-1.4563970169488382e-20,0.049999999999999566
112,35.0,25.0,0.0,8.250000000000021,1.428571428571433e-05,1.5411288697372967e-20,5.000000000000015e-06,5.393951044080538e-21,0.050000000000000155
113,40.0,25.0,0.0,8.00000000000002,1.4285714285714465e-05,-1.4538634846281797e-20,5.000000000000062e-06,-5.088522196198629e-21,0.050000000000000606
114,45.0,25.0,0.0,7.750000000000013,1.428571428571446e-05,-2.5112187461759423e-20,5.0000000000000605e-06,-8.789265611615798e-21,0.0500000000000006
115,50.0,25.0,0.0,7.5000000000000115,1.42857142857143e-05,-4.606950596213902e-20,5.000000000000005e-06,-1.6124327086748656e-20,0.05000000000000003
116,55.0,25.0,0.0,7.250000000000014,1.4285714285714128e-05,3.3301605418635506e-20,4.9999999999999445e-06,1.1655561896522427e-20,0.04999999999999945
117,60.0,25.0,0.0,7.000000000000018,1.4285714285714185e-05,1.4890239046777868e-19,4.999999999999965e-06,5.2115836663722537e-20,0.049999999999999656
